"","countyreal","state_name","year","FIPS","emp0A01_BS","quarter","censusdiv","pop","annual_avg_pay","state_mw","fed_mw","treated","G","lemp","lpop","lavg_pay","region","ever_treated","id"
"1",2013,"Alaska",2001,2013,15,1,9,2459,22155,5.65,5.15,1,2001,2.70805020110221,7.80751004221619,10.0058184836336,"4",1,2013
"2",2013,"Alaska",2002,2013,17,1,9,2664,28447,5.65,5.15,1,2001,2.83321334405622,7.88758403166028,10.2557979858398,"4",1,2013
"3",2013,"Alaska",2003,2013,12,1,9,2715,30184,7.15,5.15,1,2001,2.484906649788,7.90654723236804,10.3150672616441,"4",1,2013
"4",2013,"Alaska",2004,2013,13,1,9,2677,27557,7.15,5.15,1,2001,2.56494935746154,7.89245204352035,10.2240118657919,"4",1,2013
"5",2013,"Alaska",2005,2013,11,1,9,2646,30396,7.15,5.15,1,2001,2.39789527279837,7.8808043446749,10.3220662997897,"4",1,2013
"6",2013,"Alaska",2006,2013,9,1,9,2610,30323,7.15,5.15,1,2001,2.19722457733622,7.86710550031674,10.3196617794526,"4",1,2013
"7",2013,"Alaska",2007,2013,10,1,9,2818,30796,7.15,5.15,1,2001,2.30258509299405,7.94378269245863,10.3351400903979,"4",1,2013
"8",2050,"Alaska",2001,2050,202,1,9,16290,27033,5.65,5.15,1,2001,5.30826769740121,9.69830670159609,10.2048136209031,"4",1,2050
"9",2050,"Alaska",2002,2050,197,1,9,16618,27347,5.65,5.15,1,2001,5.28320372873799,9.71824172422493,10.2163621126199,"4",1,2050
"10",2050,"Alaska",2003,2050,214,1,9,16828,28398,7.15,5.15,1,2001,5.36597601502185,9.73079944471041,10.2540739991343,"4",1,2050
"11",2050,"Alaska",2004,2050,217,1,9,16963,30800,7.15,5.15,1,2001,5.37989735354046,9.73878978049572,10.3352699689617,"4",1,2050
"12",2050,"Alaska",2005,2050,195,1,9,17044,30163,7.15,5.15,1,2001,5.27299955856375,9.7435535146198,10.3143712866712,"4",1,2050
"13",2050,"Alaska",2006,2050,165,1,9,17097,31289,7.15,5.15,1,2001,5.10594547390058,9.74665828850311,10.3510218770599,"4",1,2050
"14",2050,"Alaska",2007,2050,142,1,9,17100,33328,7.15,5.15,1,2001,4.95582705760126,9.74683374249075,10.4141531635008,"4",1,2050
"15",2060,"Alaska",2001,2060,15,1,9,1183,38838,5.65,5.15,1,2001,2.70805020110221,7.07580886397839,10.5671544277736,"4",1,2060
"16",2060,"Alaska",2002,2060,9,1,9,1148,34928,5.65,5.15,1,2001,2.19722457733622,7.04577657687951,10.4610440787897,"4",1,2060
"17",2060,"Alaska",2003,2060,8,1,9,1117,36335,7.15,5.15,1,2001,2.07944154167984,7.0184017990692,10.5005367430507,"4",1,2060
